playerid,PA
15640.0,633.319
25764.0,633.655
26289.0,665.535
21534.0,614.647
23697.0,617.685
20123.0,621.171
19755.0,658.176
18401.0,676.219
19611.0,636.639
19709.0,579.399
26668.0,616.808
12916.0,608.047
19556.0,550.801
13611.0,591.152
25878.0,604.763
13613.0,601.272
13510.0,603.88
20503.0,586.014
22581.0,445.579
29490.0,585.596
13624.0,515.276
16252.0,609.394
18345.0,562.259
19612.0,584.856
22799.0,562.356
27479.0,648.973
28163.0,521.951
17678.0,638.238
31347.0,598.581
22715.0,620.014
26288.0,544.55
11579.0,598.364
33333.0,558.778
27769.0,499.983
22664.0,406.688
21479.0,585.13
15986.0,620.458
11493.0,594.006
21636.0,565.065
16505.0,592.738
33266.0,474.569
14344.0,651.293
5361.0,658.412
27478.0,401.605
14162.0,485.762
12161.0,554.843
24679.0,544.974
25931.0,492.535
35110.0,493.199
12533.0,668.308
20454.0,545.576
18360.0,616.633
27562.0,386.287
28806.0,594.109
19197.0,472.159
25768.0,593.992
22186.0,613.003
14161.0,488.814
16997.0,637.404
25976.0,582.17
15998.0,573.919
17350.0,624.627
16478.0,626.373
24610.0,593.645
22266.0,557.51
19251.0,642.471
21711.0,512.016
5417.0,589.296
12927.0,641.893
18314.0,524.463
24064.0,612.02
31580.0,486.282
26121.0,395.117
23003.0,481.416
33321.0,474.959
31812.0,511.079
16578.0,611.721
24262.0,502.85
25816.0,492.493
18839.0,570.12
20036.0,472.152
29518.0,500.886
24816.0,485.715
12856.0,608.582
26294.0,527.762
31539.0,485.094
27815.0,418.088
18568.0,591.681
27464.0,344.136
29712.0,526.652
17548.0,610.312
20437.0,472.444
29576.0,464.664
18564.0,477.724
20599.0,474.291
17919.0,629.693
19608.0,485.317
26319.0,517.57
19627.0,607.999
29646.0,445.419
27615.0,557.955
19950.0,524.773
21865.0,404.527
21618.0,532.437
27467.0,462.956
30116.0,557.35
31370.0,524.252
27676.0,560.055
16556.0,548.959
15491.0,503.527
24618.0,451.625
21840.0,392.809
27899.0,482.663
33189.0,558.658
25493.0,480.313
27647.0,428.735
33824.0,467.867
9777.0,525.235
20178.0,491.677
24617.0,576.529
19522.0,512.243
18036.0,545.264
31781.0,393.134
18882.0,489.144
15362.0,490.502
13152.0,468.512
23772.0,429.527
20391.0,458.648
13301.0,351.083
27790.0,372.464
32127.0,437.659
