Name,ProjectedFP,flag,IDfg,flag_value
Garrett Crochet,856.4725898325335,Low projected PA/IP (injury/role concern),—,205.1
Tarik Skubal,852.5010358921045,Low projected PA/IP (injury/role concern),—,195.1
Logan Webb,835.6619974152,Low projected PA/IP (injury/role concern),—,207.0
Paul Skenes,752.1560543743999,Low projected PA/IP (injury/role concern),—,187.2
Kevin Gausman,677.9646110293334,Age 35 — heightened decline risk,,35.2
Kevin Gausman,677.9646110293334,Low projected PA/IP (injury/role concern),—,193.0
Cristopher Sanchez,675.2877262515999,Low projected PA/IP (injury/role concern),—,202.0
Hunter Brown,654.60768603384,Low projected PA/IP (injury/role concern),—,185.1
Framber Valdez,651.9205972223999,Low projected PA/IP (injury/role concern),—,192.0
Freddy Peralta,637.0017459492886,Low projected PA/IP (injury/role concern),—,176.2
Max Fried,636.1436656771111,Low projected PA/IP (injury/role concern),—,195.1
Carlos Rodon,632.3717837201111,Low projected PA/IP (injury/role concern),—,195.1
Nick Pivetta,619.8585975850665,Low projected PA/IP (injury/role concern),—,181.2
Sonny Gray,604.6032369230489,Age 36 — heightened decline risk,,36.4
Sonny Gray,604.6032369230489,Low projected PA/IP (injury/role concern),—,180.2
Luis Castillo,604.4036976267911,Low projected PA/IP (injury/role concern),—,180.2
Bryan Woo,603.0089274453687,Low projected PA/IP (injury/role concern),—,186.2
Dylan Cease,602.6205764245333,Low projected PA/IP (injury/role concern),—,168.0
Zac Gallen,581.8650732586666,Low projected PA/IP (injury/role concern),—,192.0
Tanner Bibee,579.0008186388801,Low projected PA/IP (injury/role concern),—,182.1
Joe Ryan,577.6623880352,Low projected PA/IP (injury/role concern),—,171.0
Zack Wheeler,557.5465654465777,Low projected PA/IP (injury/role concern),—,149.2
Zack Wheeler,557.5465654465777,Age 36 — heightened decline risk,,35.8
Yoshinobu Yamamoto,549.9373117155554,Low projected PA/IP (injury/role concern),—,173.2
Marcus Semien,548.8067820288907,Age 36 — heightened decline risk,,35.5
